COOPID, YEAR, MONTH, DAY, meanTemp
80211,1931,9,30,74.00000
80211,1931,10,1,74.50000
80211,1931,10,2,73.50000
80211,1931,10,3,76.50000
80211,1931,10,4,76.50000
80211,1931,10,5,77.00000
80211,1931,10,6,76.00000
80211,1931,10,7,78.50000
80211,1931,10,8,77.50000
80211,1931,10,9,79.50000
80211,1931,10,10,77.50000
80211,1931,10,11,76.50000
80211,1931,10,12,78.50000
80211,1931,10,13,74.50000
80211,1931,10,14,74.50000
80211,1931,10,15,78.50000
80211,1931,10,16,77.00000
80211,1931,10,17,68.50000
80211,1931,10,18,67.00000
80211,1931,10,19,68.50000
80211,1931,10,20,69.50000
80211,1931,10,21,69.00000
80211,1931,10,22,69.00000
80211,1931,10,23,71.00000
80211,1931,10,24,-99.90000
80211,1931,10,25,-99.90000
80211,1931,10,26,-99.90000
80211,1931,10,27,-99.90000
80211,1931,10,28,-99.90000
80211,1931,10,29,-99.90000
80211,1931,10,30,-99.90000
80211,1931,10,31,-99.90000
80211,1931,11,1,-99.90000
80211,1931,11,2,-99.90000
80211,1931,11,3,-99.90000
80211,1931,11,4,-99.90000
80211,1931,11,5,-99.90000
80211,1931,11,6,-99.90000
80211,1931,11,7,-99.90000
80211,1931,11,8,-99.90000
80211,1931,11,9,-99.90000
80211,1931,11,10,-99.90000
80211,1931,11,11,-99.90000
80211,1931,11,12,-99.90000
80211,1931,11,13,63.50000
80211,1931,11,14,64.00000
80211,1931,11,15,63.50000
80211,1931,11,16,67.00000
80211,1931,11,17,73.00000
80211,1931,11,18,73.00000
80211,1931,11,19,73.00000
80211,1931,11,20,72.50000
80211,1931,11,21,71.00000
80211,1931,11,22,70.50000
80211,1931,11,23,69.50000
80211,1931,11,24,68.00000
80211,1931,11,25,69.00000
80211,1931,11,26,66.50000
80211,1931,11,27,69.00000
80211,1931,11,28,68.00000
80211,1931,11,29,69.50000
80211,1931,11,30,70.50000
80211,1931,12,1,-99.90000
80211,1931,12,2,62.50000
80211,1931,12,3,64.50000
80211,1931,12,4,67.00000
80211,1931,12,5,57.50000
80211,1931,12,6,60.50000
80211,1931,12,7,60.00000
80211,1931,12,8,65.00000
80211,1931,12,9,68.00000
80211,1931,12,10,68.50000
80211,1931,12,11,69.50000
80211,1931,12,12,71.50000
80211,1931,12,13,74.00000
80211,1931,12,14,72.00000
80211,1931,12,15,60.00000
80211,1931,12,16,60.00000
80211,1931,12,17,68.50000
80211,1931,12,18,68.00000
80211,1931,12,19,71.00000
80211,1931,12,20,69.50000
80211,1931,12,21,72.00000
80211,1931,12,22,71.50000
80211,1931,12,23,67.00000
80211,1931,12,24,72.00000
80211,1931,12,25,63.50000
80211,1931,12,26,56.00000
80211,1931,12,27,60.50000
80211,1931,12,28,65.50000
80211,1931,12,29,61.00000
80211,1931,12,30,68.50000
80211,1931,12,31,64.50000
80211,1932,1,1,60.50000
80211,1932,1,2,-99.90000
80211,1932,1,3,-99.90000
80211,1932,1,4,-99.90000
80211,1932,1,5,-99.90000
80211,1932,1,6,-99.90000
80211,1932,1,7,-99.90000
80211,1932,1,8,-99.90000
80211,1932,1,9,-99.90000
80211,1932,1,10,-99.90000
80211,1932,1,11,-99.90000
80211,1932,1,12,65.50000
80211,1932,1,13,68.00000
80211,1932,1,14,66.00000
80211,1932,1,15,64.00000
80211,1932,1,16,65.00000
80211,1932,1,17,66.00000
80211,1932,1,18,67.00000
80211,1932,1,19,56.00000
80211,1932,1,20,56.50000
80211,1932,1,21,63.50000
80211,1932,1,22,63.50000
80211,1932,1,23,65.00000
80211,1932,1,24,68.00000
80211,1932,1,25,64.00000
80211,1932,1,26,66.50000
80211,1932,1,27,64.50000
80211,1932,1,28,63.00000
80211,1932,1,29,70.00000
80211,1932,1,30,59.00000
80211,1932,1,31,48.00000
80211,1932,2,1,54.50000
80211,1932,2,2,66.50000
80211,1932,2,3,68.00000
80211,1932,2,4,65.50000
80211,1932,2,5,53.00000
80211,1932,2,6,58.00000
80211,1932,2,7,68.50000
80211,1932,2,8,72.00000
80211,1932,2,9,69.50000
80211,1932,2,10,69.50000
80211,1932,2,11,69.50000
80211,1932,2,12,71.50000
80211,1932,2,13,67.50000
80211,1932,2,14,66.50000
80211,1932,2,15,69.00000
80211,1932,2,16,67.50000
80211,1932,2,17,70.00000
80211,1932,2,18,67.00000
80211,1932,2,19,69.00000
80211,1932,2,20,58.00000
80211,1932,2,21,68.50000
80211,1932,2,22,65.00000
80211,1932,2,23,62.50000
80211,1932,2,24,65.00000
80211,1932,2,25,60.00000
80211,1932,2,26,63.00000
80211,1932,2,27,66.00000
80211,1932,2,28,69.50000
80211,1932,2,29,63.50000
80211,1932,3,1,67.00000
80211,1932,3,2,71.00000
80211,1932,3,3,69.50000
80211,1932,3,4,72.00000
80211,1932,3,5,61.00000
80211,1932,3,6,46.50000
80211,1932,3,7,49.50000
80211,1932,3,8,56.50000
80211,1932,3,9,48.50000
80211,1932,3,10,37.50000
80211,1932,3,11,45.00000
80211,1932,3,12,48.50000
80211,1932,3,13,41.50000
80211,1932,3,14,47.50000
80211,1932,3,15,47.50000
80211,1932,3,16,59.50000
80211,1932,3,17,63.50000
80211,1932,3,18,65.00000
80211,1932,3,19,61.00000
80211,1932,3,20,65.00000
80211,1932,3,21,68.50000
80211,1932,3,22,65.00000
80211,1932,3,23,50.00000
80211,1932,3,24,55.50000
80211,1932,3,25,58.00000
80211,1932,3,26,61.50000
80211,1932,3,27,66.00000
80211,1932,3,28,59.50000
80211,1932,3,29,59.00000
80211,1932,3,30,66.00000
80211,1932,3,31,62.50000
80211,1932,4,1,58.00000
80211,1932,4,2,59.50000
80211,1932,4,3,62.00000
80211,1932,4,4,65.00000
80211,1932,4,5,66.50000
80211,1932,4,6,66.50000
80211,1932,4,7,70.00000
80211,1932,4,8,69.50000
80211,1932,4,9,63.50000
80211,1932,4,10,61.50000
80211,1932,4,11,62.50000
80211,1932,4,12,60.00000
80211,1932,4,13,65.50000
80211,1932,4,14,66.50000
80211,1932,4,15,65.50000
80211,1932,4,16,63.50000
80211,1932,4,17,65.50000
80211,1932,4,18,69.50000
80211,1932,4,19,66.50000
80211,1932,4,20,71.50000
80211,1932,4,21,67.00000
80211,1932,4,22,75.00000
80211,1932,4,23,71.00000
80211,1932,4,24,72.50000
80211,1932,4,25,73.50000
80211,1932,4,26,76.50000
80211,1932,4,27,73.00000
